feature,corr_train,corr_test
qqq_roc_9,-0.007655848,-0.114311431
qqq_roc_4,-0.033028313,0.104362436
qqq_roc_14,-0.038558245,-0.206420642
qqq_obv_20,-0.01156062,-0.266858686
usdjpy_roc_1,-0.040178061,-0.008760876
qqq_roc_15,-0.034523503,-0.142094209
qqq_roc_7,-0.02172504,0.048364836
qqq_roc_1,-0.040514025,-0.077011701
bid_ask_spread,-0.031104372,-0.090678339
vix_roc_1,0.020964571,0.140978098
qqq_roc_10,-0.024050423,-0.115343534
qqq_rsi_14,-0.052221775,-0.076123612
qqq_roc_3,-0.051311469,0.101806181
qqq_roc_17,-0.033670097,-0.180390039
qqq_roc_5,-0.045798963,0.103426343
